order_id,customer_id,product_id,order_date,quantity,unit_price
1,1,1,2023-02-01,1,1299.99
2,1,2,2023-02-01,2,29.99
3,2,3,2023-02-05,1,89.99
4,3,4,2023-02-10,1,349.99
5,4,5,2023-02-15,3,49.99
6,5,6,2023-02-20,1,39.99
7,6,7,2023-03-01,1,299.99
8,7,8,2023-03-05,1,599.99
9,8,9,2023-03-10,5,19.99
10,9,10,2023-03-15,10,9.99
11,10,11,2023-03-20,2,24.99
12,11,12,2023-04-01,1,79.99
13,12,13,2023-04-05,3,19.99
14,13,14,2023-04-10,1,149.99
15,14,15,2023-04-15,1,89.99
16,15,16,2023-04-20,4,14.99
17,16,17,2023-05-01,2,12.99
18,17,18,2023-05-05,1,34.99
19,18,19,2023-05-10,1,29.99
20,19,20,2023-05-15,3,14.99
21,20,1,2023-05-20,1,1299.99
22,1,3,2023-05-25,1,89.99
23,2,4,2023-06-01,1,349.99
24,3,5,2023-06-05,2,49.99
25,4,6,2023-06-10,1,39.99
26,5,7,2023-06-15,1,299.99
27,6,8,2023-06-20,1,599.99
28,7,9,2023-07-01,3,19.99
29,8,10,2023-07-05,5,9.99
30,9,11,2023-07-10,1,24.99
31,10,12,2023-07-15,2,79.99
32,11,13,2023-07-20,1,19.99
33,12,14,2023-08-01,1,149.99
34,13,15,2023-08-05,1,89.99
35,14,16,2023-08-10,2,14.99
36,15,17,2023-08-15,3,12.99
37,16,18,2023-08-20,1,34.99
38,17,19,2023-09-01,2,29.99
39,18,20,2023-09-05,1,14.99
40,19,1,2023-09-10,1,1199.99
41,20,2,2023-09-15,1,29.99
42,21,3,2023-09-20,1,89.99
43,22,4,2023-10-01,1,349.99
44,23,5,2023-10-05,1,49.99
45,24,6,2023-10-10,2,39.99
46,25,7,2023-10-15,1,299.99
47,26,8,2023-10-20,1,599.99
48,27,9,2023-11-01,2,19.99
49,28,10,2023-11-05,8,9.99
50,29,11,2023-11-10,1,24.99
51,30,12,2023-11-15,1,79.99
52,1,14,2023-11-20,1,149.99
53,2,15,2023-12-01,1,89.99
54,3,16,2023-12-05,3,14.99
55,4,17,2023-12-10,1,12.99
56,5,18,2023-12-15,1,34.99
57,6,19,2023-12-20,1,29.99
58,7,20,2023-12-25,4,14.99
59,8,1,2024-01-01,1,1299.99
